,meanV,meanH,meanM,stdV,stdH,stdM,dofall
908,145.72604420804163,172.1106008010924,225.5176218828652,0.5717386243093734,0.9932299126657474,1.1134414584507162,no
909,145.94373033995834,172.63799620982908,226.0609716540082,0.19002456789587815,0.6852740246960946,0.6039697770197825,no
910,145.90920288623198,172.98227197679086,226.3018094305716,0.25684917960336606,0.457799530544765,0.3028925678498797,no
911,145.814860600483,173.2427395236652,226.4401651691299,0.30457154807002107,0.286469707569054,0.12160775472326858,no
912,145.690527866907,173.41911082962906,226.49503931889717,0.2745615082650022,0.20173389542433895,0.09962101525779296,no
913,145.5991767246347,173.56504591818913,226.5479724002743,0.1511419044403629,0.24499536940311822,0.18682238881263336,no
914,145.60215367472574,173.7319588863761,226.67771828089244,0.15721388719779175,0.298384960180315,0.3235120105233533,no
915,145.70203376825597,173.8980124675078,226.8691323429147,0.21826391105668358,0.27587751976900493,0.34851893964080044,no
916,145.86174251731435,174.04988925580741,227.08813154789195,0.3154836046525173,0.2570618584899187,0.395093021387675,no
917,146.1297917624558,174.21784114828165,227.38911575355678,0.46355117196211937,0.22579825656752975,0.46763147262690624,no
918,146.50344246040532,174.3791111720552,227.75302607517105,0.6793588347935176,0.2384658171358303,0.6193696447402216,no
919,147.05475523514684,174.59896046451033,228.276435494052,1.0459338188529612,0.40562875455183783,0.983514411617866,no
920,147.87300134725822,174.97333185006678,229.09056445765322,1.5069462455795046,0.7006822589647465,1.5058787822959503,no
921,148.85329703045386,175.4940280117312,230.1214694339535,1.802229141494415,1.0027587420630613,1.9268024532986012,no
922,149.8666616282628,176.15042617692586,231.27748376893118,1.8102621934927925,1.2481261488729478,2.1161007474129385,no
923,150.7868306911944,176.90374295891934,232.44720127411597,1.449239981835275,1.3016355143130636,1.9159996837206679,no
924,151.40647639497016,177.61135430335943,233.38765723104166,0.8109381858225366,1.1157878487021293,1.3406186218325837,no
925,151.61480237511097,178.1844068549138,233.95939810361514,0.43160651748320866,0.8245858458834212,0.7281528667168733,no
926,151.56610100807816,178.62489572081898,234.26372920559137,0.49710419459921534,0.5191333503705218,0.2617593507901912,no
927,151.44653656646898,178.94037832595933,234.42685792121284,0.4661934982879948,0.3411360724282395,0.18603347069928047,no
928,151.45992245243903,179.22956027266906,234.6559668339791,0.4905337392215469,0.4513449835721637,0.5874548474870054,no
929,151.77823186987564,179.60864482126522,235.1509611117578,0.9745745686976203,0.6994155017743764,1.1584657961975175,no
930,152.3912424832723,180.08877974201633,235.91357803317138,1.3527165828227548,0.9135394615499045,1.5710630761986701,no
931,153.18700547509184,180.68375688696818,236.88188005780756,1.4720072010665408,1.0877089716662849,1.7795653608111932,no
932,154.01864859482413,181.3721788924055,237.94469439408658,1.310065231158128,1.1419595075157247,1.7139409268335313,no
933,154.69532456075643,182.0396500048274,238.89138455030292,0.9484889354409078,1.059722544942352,1.4151488363616138,no
934,155.14388185975488,182.6425321939623,239.64131632024342,0.5896587147145986,0.9343658158572565,1.0809408743681306,no
935,155.41899533262188,183.18527163352974,240.23321169172414,0.2666611910040397,0.7577338110442342,0.7314958185134118,no
936,155.52659695720922,183.6110642766434,240.62762163100933,0.047695764100280647,0.5778998512370475,0.44998415895721144,no
937,155.53769924144828,183.94714410903777,240.89129240564398,0.03446957937715825,0.4831990849632738,0.35477094501404244,no
938,155.56876910017667,184.25502536303088,241.1464374507224,0.0906005546498969,0.428046940396014,0.3625289898591235,no
939,155.66488417789472,184.5320806718873,241.42009589455483,0.22271781961927947,0.41283329813020114,0.4448161479987767,no
940,155.85940446820874,184.82073285764187,241.76613272854078,0.4372986009892418,0.4893784473953366,0.6508626687543151,no
941,156.17407334716478,185.16249260337486,242.23026402648716,0.6264992440392914,0.5698727370855331,0.8387845298040707,no
942,156.5854478805537,185.53181654462213,242.77784211364883,0.7528247856638459,0.6283290799625786,0.9656934124084936,no
943,157.10396986130635,185.95872080315812,243.43857178836274,0.8893019416242356,0.7285998986696535,1.130446358578857,no
