@RELATION fall

@ATTRIBUTE index INTEGER
@ATTRIBUTE meanV REAL
@ATTRIBUTE meanH REAL
@ATTRIBUTE meanM REAL
@ATTRIBUTE mstdV REAL
@ATTRIBUTE stdH REAL
@ATTRIBUTE stdM REAL
@ATTRIBUTE dofall {yes,no}

@DATA
38,2.970184341,2.689805562,4.00736023,0.02120455,0.059146557,0.039864333,yes
39,2.989207933,2.674657363,4.011369567,0.047443031,0.047483867,0.045753618,yes
40,3.012801917,2.66346602,4.021414799,0.059998343,0.027576546,0.058500685,yes
41,3.0388518,2.669849192,4.045104128,0.055706947,0.034068732,0.063823191,yes
42,3.062981975,2.685899991,4.073813275,0.032578687,0.027372552,0.04200063,yes
43,3.080015652,2.699566644,4.095630415,0.009701262,0.013991357,0.015806657,yes
44,3.09085446,2.710998174,4.111315181,0.016676614,0.014488621,0.021514639,yes
45,3.098721825,2.721270643,4.124002962,0.020744572,0.017708989,0.027055125,yes
46,3.103945172,2.729796731,4.133559002,0.019123934,0.019690262,0.026423174,yes
47,3.106267013,2.739566088,4.141775887,0.015445474,0.018067037,0.01808309,yes
48,3.093545514,2.742484111,4.134203365,0.039007143,0.012586189,0.034450238,yes
49,3.058548188,2.727253292,4.097931092,0.073418827,0.040345585,0.080644072,yes
50,3.017344536,2.702622259,4.050772776,0.085572753,0.059294806,0.10274904,yes
51,2.982203581,2.675925483,4.006770398,0.073525374,0.062415351,0.095836372,yes
52,2.953498016,2.645634544,3.965192232,0.043146762,0.048728468,0.062969414,yes
53,2.934002611,2.614702509,3.930071889,0.011937498,0.031601377,0.024708275,yes
54,2.922220833,2.581167826,3.899044056,0.023069473,0.054539992,0.050779434,yes
55,2.908959589,2.539743536,3.861805368,0.040147755,0.08516796,0.085839647,yes
56,2.897609604,2.505433516,3.830712494,0.039406021,0.080786151,0.082490114,yes
57,2.890040545,2.476389393,3.805984914,0.030553784,0.059198304,0.059874704,yes
58,2.874693532,2.444790686,3.77373409,0.023814411,0.032436611,0.036926072,yes
59,2.846584708,2.426294437,3.740382995,0.061346624,0.02545014,0.061371212,yes
60,2.792995723,2.439249109,3.709265686,0.132973409,0.033759568,0.094648695,yes
61,2.727657596,2.506995358,3.709220339,0.159082809,0.158463897,0.094608907,yes
62,2.687027415,2.603672877,3.746929578,0.123614621,0.245897774,0.159470032,yes
63,2.735633476,2.743307339,3.877432266,0.217550614,0.302103352,0.327529488,yes
64,2.999683294,3.011782867,4.253287204,0.634070517,0.468964587,0.771413009,yes
65,3.467131521,3.39191144,4.854670685,1.003187859,0.661350328,1.179646587,yes
66,3.838600202,3.615735088,5.277045707,0.919181137,0.589677511,1.069620941,yes
67,4.017692755,3.716307205,5.474321954,0.705324936,0.47877416,0.841100342,yes
68,4.081654447,3.800485493,5.579205744,0.608809403,0.370445741,0.69133875,yes
69,3.791649573,3.666119762,5.280730154,0.896181998,0.497670327,0.982079415,yes
70,3.019955009,3.313852413,4.528537912,1.267065541,0.48843749,1.156131191,yes
71,2.362445795,3.23809105,4.090661399,1.219017848,0.394533764,0.898750678,yes
72,2.030796115,3.246405793,3.892314917,1.00494963,0.400409586,0.749474231,yes
73,1.773259248,3.164222335,3.665102222,0.670408333,0.36807914,0.489541521,yes
74,1.657870203,3.133967002,3.570505115,0.522657018,0.383786555,0.444614974,yes
75,1.94471932,3.179891301,3.762701742,0.506294987,0.314307002,0.157386165,yes
76,2.202391979,3.026403512,3.755244042,0.238963041,0.290537549,0.162030705,yes
77,2.202149151,2.869884514,3.622714005,0.239294571,0.162426809,0.188933634,yes
78,2.075555728,2.813372266,3.508829018,0.400793701,0.083087715,0.237553519,yes
79,1.951090187,2.804387902,3.437551194,0.499729396,0.070515205,0.270064116,yes
80,1.777292691,2.795427734,3.328451178,0.405533781,0.066092905,0.192545505,yes
81,1.667344882,2.755151411,3.228296166,0.226741738,0.127902619,0.063431419,yes
82,1.636815134,2.653836857,3.129212403,0.18768403,0.283456728,0.16771253,yes
83,1.651295333,2.470610949,2.983691435,0.176540557,0.404655691,0.324442593,yes
84,1.625742403,2.231048816,2.765748429,0.222425532,0.458326947,0.472866491,yes
85,1.503786241,1.96998577,2.479622886,0.35181721,0.420215581,0.54080094,yes
86,1.28309801,1.777062807,2.199842495,0.414086329,0.283325254,0.456040392,yes
87,1.018114351,1.669621158,1.978025422,0.433802006,0.157391357,0.320101642,yes
88,0.743186562,1.638465605,1.83727699,0.433669041,0.099803332,0.157053724,yes
89,0.497250694,1.727868859,1.83922478,0.394303505,0.240829878,0.161325304,yes
90,0.304599944,1.896898469,1.945985658,0.301861121,0.322813014,0.274789584,yes
91,0.198251931,2.006449484,2.023830434,0.166875952,0.283564551,0.264241568,yes
92,0.21690913,2.102105883,2.121051579,0.204774538,0.208892246,0.210635287,yes
93,0.358199773,2.124387036,2.182124369,0.365347353,0.165570709,0.102313684,yes
94,0.595658855,2.051150826,2.18814228,0.487269601,0.233967728,0.098745829,yes
95,0.888484972,1.951242379,2.196847237,0.518503738,0.177276141,0.116366609,yes
96,1.194273838,1.931789094,2.304874058,0.477543229,0.155578186,0.243557921,yes
97,1.45778286,1.960930202,2.453781076,0.393555826,0.208791012,0.367628296,yes
98,1.692307821,2.144273217,2.733160764,0.320675586,0.416565717,0.515671278,yes
99,1.869274335,2.389770714,3.035787928,0.248647837,0.486022383,0.533405402,yes
100,1.991533989,2.554286156,3.240585041,0.170016435,0.38391494,0.403470884,yes
101,2.051750844,2.644794227,3.348618516,0.105112931,0.268878208,0.26936833,yes
102,2.0859423,2.645330059,3.371266564,0.040965955,0.267984003,0.229899604,yes
103,2.063363942,2.513023356,3.254735105,0.070580075,0.331695255,0.298871159,yes
104,2.026496998,2.326388116,3.086906402,0.074752602,0.254836284,0.240323211,yes
105,2.002375786,2.193235567,2.971427599,0.048530578,0.200228706,0.174522445,yes
106,1.997929791,2.088713316,2.891430802,0.043417229,0.127057228,0.103062834,yes
107,2.002546212,2.024058389,2.8481977,0.050313047,0.06947944,0.028735628,yes
108,2.034125173,1.992668691,2.848159735,0.064294462,0.034821948,0.028655895,yes
109,2.078038535,1.978520616,2.869611985,0.06419644,0.013963703,0.044271421,yes
110,2.118199933,1.979239318,2.899211584,0.071608706,0.015459714,0.061490548,yes
111,2.170092366,1.991383225,2.945522773,0.085575583,0.027126245,0.081015674,yes
